,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
0,LABEL_17,2.505734280223777,royal bank of scotland which reports full year data next thursday is expected to raise its pretax profit from last years 602 million stg but not by as much as analysts thought just a few months ago,LABEL_8,2.1390778752282915,majestic cant building of scotland which reports full year data next thursday is expected to raise its pretax profit from last years 602 million stg but not by as much as analysts thought just a few months ago,True,0.9827498,0.9177275164274712
1,LABEL_28,1.061979997124261,russia is quietly importing some western grain to offset its second meagre harvest in a row but traders said on wednesday that the country was too broke to be a big presence on world grain markets this year,LABEL_28,0.947029036007806,russia is quietly import some western caryopsis to set-back printing its second scrimpy harvest in a row but trader said on wednesday that the country was too split up to be a freehanded presence on man-wide caryopsis markets this year,False,0.9732859,0.386055140934571
2,LABEL_4,2.128534944908811,an official inquiry into australias financial system said on thursday it would look at recommending a relaxation of rules that currently stop big bank mergers and takeovers by foreign banks,LABEL_4,1.001806290787182,an prescribed interrogation into Australia fiscal organization aforesound out on thursday it would feel at commend a relaxation of convention that presently layover freehanded cant building uniting and coup d'etat by foreign cant buildings,False,0.89130205,0.1226659433055874
3,LABEL_26,1.3551759625581532,toronto stocks ended softer on monday after the important gold sector crumbled under the weight of falling bullion prices,LABEL_6,1.2395646747985078,toronto neckcloth ended softer on monday after the important gold sector crumbled under the weight of falling bullion prices,True,0.9826449,0.8979542144404234
4,LABEL_6,1.4283822703021818,canadas six biggest banks are poised for a further round of buoyant profits when they begin reporting thirdquarter earnings tuesday setting the stage for a third consecutive record year analysts said,LABEL_6,0.9529298893526617,Canada six freehanded banks are brace for a further apear-shaped of perky profits when they begin reporting thirdquarter earn tuesday rig the stage for a third consecutive record year analysts said,False,0.98072714,0.5148030774310148
5,LABEL_39,3.292796135595254,csx corps sweetened bid for conrail inc makes the deal more appealing to conrail shareholders than its previous offer but it may not be strong enough to clinch the deal,LABEL_39,2.1949676611476665,csx corporation edulcorate tender for conrail Iraqi National Congress earn the take more invoke to conrail shareholder than its former tender but it whitethorn not be unattackable adequate to clIraqi National Congressh the take,False,0.9058082,7.584715886451607e-155
6,LABEL_17,2.4180153051739284,british bank abbey national plc on thursday posted a 20 percent rise in 1996 pretax profit and said it would make a formal bid on friday for mutuallyowned life assurance firm scottish amicable,LABEL_44,1.1693881361888678,british cant abbey national plc on thursday posted a 20 percent rise in 1996 pretax profit and said it would make a formal bid on friday for mutuallyowned life assurance firm scottish amicable,True,0.99404335,0.9438872047706456
7,LABEL_38,2.4922323244697693,frances restructuring of its defence sector and the key role of stateowned aerospatiale in that process are complicating the change in the european airbus consortium into a limited liability company analysts said,LABEL_38,1.2612152253452076,French Republic reconstitute of its defense reaction sphere and the fundamental part of stateowned aerospatiale in that process are complicate the change in the European airbus consortium into a limited liability company analysts said,False,0.96563435,0.5011817619647325
8,LABEL_28,2.290713326955557,russias finance ministry said on thursday that moscow was ready to cooperate with de beers on a deal which a deputy minister said was vital to support the diamond market,LABEL_28,2.131547478575586,Soviet Union finance ministry aforesound out on thursday that capital of the Russian FeDelawareration was cook to join forces with Delaware beer on a take which a Delawareputy minister aforesound out was life-sustaining to indorse the baseball field market,False,0.8721556,2.4234181565486338e-78
9,LABEL_41,2.2163893849299,sun microsystems inc said monday it will move to build on the momentum behind its java computer programming language despite overtures by microsoft corp to coopt suns initiative,LABEL_0,1.731721604204533,sun microsystems Iraqi National Congress said monday it will move to build on the momentum behind its java computer programming linguistic communication contempt overtures by microsoft corp to coopt suns initiative,True,0.9810307,0.6964365549070355
