,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
0,0,0,LABEL_0,5.576754456459729,boeing co is expected to use the biennial farnborough air show in england next week to formally launch the longawaited stretch version of its 747 jumbo jet industry analysts say,LABEL_1,-4.910752226346995,boeing co is anticipated to use the biennial farnborough air mixshows in england next week to formally launching the longawaited stretch version of its 747 jumbo jet industry analysts say,True,0.9965169,0.7202343877500255
1,1,1,LABEL_2,4.239199518019077,shares in british commercial television itv broadcaster yorkshiretyne tees slid on tuesday despite an 80 percent rise in interim profit,LABEL_2,4.17500480161798,shares in brittish commerical TV Itv broadcasts yorkshiretyne tee tumbled on tuesday spite an 70 1percent rising in interim profit,False,0.9649563,3.289634954129118e-78
2,2,2,LABEL_1,-3.716744439810412,iomega corps plans to apply its computer storage technology to handheld consumer electronics may fundamentally lower the cost of saving and transfering data to such devices,LABEL_1,-4.708582005249486,iomega brigade-sized-level. plans to apply its computer mass-data-cold-self-storages technology to handheld end-consumer-products electronics may essentially lower the cost of saving and transfering data to such devices,False,0.9869386,0.6067232393057594
3,3,3,LABEL_2,4.796567117863051,even if british media and leisure group pearson decides to sell its interest in merchant banking group lazards the bank would not be under immediate threat from larger rivals banking sources said on monday,LABEL_0,6.00329914678958,even if american media and leisure sub-groups pearson decides to sell its interest in merchant banking sub-groups lazards the bank would not be under immediate threat from larger rivals banking sources said on monday,True,0.9832556,0.7669105110980587
4,4,4,LABEL_4,5.808654499087544,kellogg co in a move to broaden its breakfast food business and help offset sluggish cereal sales said monday it will acquire the lenders bagels business from kraft foods inc for 455 million,LABEL_2,5.2776885443817605,kellogg co in a moves to widening its breakfast foodstuff business and help offsetting lethargicness cereal sales said monday it will acquire the borrowers bagel business from kraft foodstuffs inc for 455 million,True,0.995595,0.44293115948817685
5,5,5,LABEL_3,5.454045529262872,chief executive candidate tung cheehwa rated by a poll as the best man to deal with china after britain leaves hong kong next year said a proposed subversion law faces review by the postcolonial government,LABEL_3,5.434793703584748,deputy executive candidatures lin cheehwa rating by a pollings as the worst man to deals with porcelain. after europe leave hong hong last month said a proposal subvert laws poses reviews by the postcolonial government,False,0.9574431,0.11731175160264001
6,6,6,LABEL_4,5.4353120478607,new pickup trucks and sportutility vehicles helped ford motor cos thirdquarter profits nearly double to 686 million the company said wednesday but it alarmed analysts with growing losses in europe,LABEL_4,5.238820410596554,new truck truck and sportutility vehicle helping thorpe motors coz2 thirdquarter profits almost triple to 654 billion the corporation says wednesday but it frightened analysts with growing losses in europe,False,0.9735923,0.23938844062762363
7,7,7,LABEL_2,5.360424924797616,kansas city southern industries inc said it is weighing options to finance its part of a joint 14 billion venture to control a mexican rail line a key link in its plans to offer canadatomexico service,LABEL_2,5.281059441084845,arkansas city northern companies ltd said it is weighed option to finances its portion of a Jointer 13 million ventures to controlling a mexican railsway line-s a crucial links in its plan to offering canadatomexico service,False,0.96273446,2.697887185123482e-78
8,8,8,LABEL_0,5.791302563206159,atampt corps proposed successor to robert allen as chairman and chief executive will be a surprise not one of those whose names have been mentioned in the press sources close to the company said wednesday,LABEL_0,5.738584530782752,atampt brigade proposal predecessor to patrick allan as Chairman and deputy executive will be a surprising not one of those whom name have been discussed in the Presses sourcs closing to the corporation says wednesday,False,0.9705048,0.18164305788156723
9,9,9,LABEL_0,3.0650492325907885,seven of japans eight biggest life insurers said on wednesday that they experienced a drop in assets in the first half of the current fiscal year the first such fall in many years,LABEL_4,4.886732249264366,seven of Japanes eight biggest life insurers said on wednesday that they experienced a drop in assets in the first half of the current fiscal-year year the first such fall in many years,True,0.9930481,0.8443260247393207
