,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
0,0,0,LABEL_0,5.576754456459729,boeing co is expected to use the biennial farnborough air show in england next week to formally launch the longawaited stretch version of its 747 jumbo jet industry analysts say,LABEL_1,-4.770282860921951,boeing co is wait to use the biennial farnborough air show in england next week to formally plunge the longawaited stretch version of its 747 jumbo jet industry analysts say,True,0.9875624,0.8166920319485289
1,1,1,LABEL_2,4.239199518019077,shares in british commercial television itv broadcaster yorkshiretyne tees slid on tuesday despite an 80 percent rise in interim profit,LABEL_1,-3.2884519939847143,portion out in British commercial message tv itv broadcaster yorkshiretyne teeing ground slue on tuesday disdain an 80 pct climb in interim profit,True,0.94536126,4.167103410265665e-78
2,2,2,LABEL_1,-3.716744439810412,iomega corps plans to apply its computer storage technology to handheld consumer electronics may fundamentally lower the cost of saving and transfering data to such devices,LABEL_2,4.181932402042792,iomega corporation plans to apply its computer storage technology to handheld consumer electronics may essentially lower the cost of saving and transfering data to such devices,True,0.9910507,0.8207202632332541
3,3,3,LABEL_2,4.796567117863051,even if british media and leisure group pearson decides to sell its interest in merchant banking group lazards the bank would not be under immediate threat from larger rivals banking sources said on monday,LABEL_0,5.742535670111147,even if British people media and leisure grouping pearson decides to sell its interest in merchant banking grouping lazards the bank would not be under immediate threat from larger rivals banking sources said on monday,True,0.99694216,0.743991720478714
4,4,4,LABEL_4,5.808654499087544,kellogg co in a move to broaden its breakfast food business and help offset sluggish cereal sales said monday it will acquire the lenders bagels business from kraft foods inc for 455 million,LABEL_2,4.23356480658408,kellogg CO in a motion to widen its breakfast nutrient business and help starting time slow cereal sales said monday it will adopt the lender beigel business from kraft nutrients inc for 455 million,True,0.9891324,0.3101882411562701
5,5,5,LABEL_3,5.454045529262872,chief executive candidate tung cheehwa rated by a poll as the best man to deal with china after britain leaves hong kong next year said a proposed subversion law faces review by the postcolonial government,LABEL_3,5.395871896227837,main executive nominee tung tree cheehwa rated by a pollard as the effective Isle of Man to batch with china after UK parting hong kong adjacent year said a purport corruption constabulary font review by the postcolonial government,False,0.9614345,0.24130002422843627
6,6,6,LABEL_4,5.4353120478607,new pickup trucks and sportutility vehicles helped ford motor cos thirdquarter profits nearly double to 686 million the company said wednesday but it alarmed analysts with growing losses in europe,LABEL_2,5.164801743863979,freshly pickup trucks and sportutility vehicle helped Gerald Rudolph Ford drive COine thirdquarter win nearly doubling to 686 million the company said wednesday but it alarmed analysts with growing losses in europe,True,0.9929986,0.572538055477425
7,7,7,LABEL_2,5.360424924797616,kansas city southern industries inc said it is weighing options to finance its part of a joint 14 billion venture to control a mexican rail line a key link in its plans to offer canadatomexico service,LABEL_2,5.30046107629246,Kansas metropolis southern industries INC said it is count pick to finance its partially of a joint 14 one million million speculation to see to it a mexican fulminate in personal credit line of credit a cardinal connexion in its program to tender up canadatomexico service,False,0.9590909,0.12538511134371527
8,8,8,LABEL_0,5.791302563206159,atampt corps proposed successor to robert allen as chairman and chief executive will be a surprise not one of those whose names have been mentioned in the press sources close to the company said wednesday,LABEL_1,-5.369218007487369,atampt corporation nominate heir to Robert Woody Allen as chairman and main administrator will be a storm not one of those whose nominate have been mentioned in the press sources close to the company aforementioned wednesday,True,0.97157645,0.459456380367467
9,9,9,LABEL_0,3.0650492325907885,seven of japans eight biggest life insurers said on wednesday that they experienced a drop in assets in the first half of the current fiscal year the first such fall in many years,LABEL_4,4.70435305635836,seven of Nihon eight biggest life insurers said on wednesday that they experienced a drop in plus in the first half of the current financial year the first such fall in many years,True,0.9782692,0.759068561316162
10,10,10,LABEL_0,5.513342325464017,czech shares rallied on monday following the coalition governments win in weekend senate elections but analysts said the rise was due more to a technical correction than to a change in investor sentiment,LABEL_0,5.502976150721686,Czechoslovakian contribution ride on monday watch the coalition administration gain in weekend Senate election but analyst aforementioned the climb was due more to a technological discipline than to a exchange in investor opinion,False,0.93755186,0.19568336427344604
11,11,11,LABEL_0,5.882819944612751,america online inc is under the gun again amid growing member outrage due to its network overload and analysts said aol risks losing the new users it worked hard to gain once they cannot sign onto the service,LABEL_2,5.113442672363257,America online inc is under the accelerator pedal again amid growing penis outrage due to its network clog and analysts said aol risks losing the freshly users it worked hard to gain once they cannot sign onto the service,True,0.99239224,0.6634832616570885
12,12,12,LABEL_0,5.867012200258976,philippe jaffre chairman of french oil group elf aquitaine is entering the last lap of an ambitious restructuring drive to cut the formerly stateowned conglomerate back to its core oil and chemicals activities,LABEL_1,-5.319009333579645,philippe jaffre president of french oil grouping imp Aquitaine is record the finally circle of an challenging restructuring drive to slue the once stateowned conglomerate back to its kernel oil and chemicals activities,True,0.9680128,0.27964664624672886
13,13,13,LABEL_0,4.542125422872787,zaires civil war should be resolved in africa without the intervention of the west the canadian government said on wednesday,LABEL_1,-4.37293300310844,Belgian Congo civil war should be resolved in africa without the intervention of the west the canadian government said on wednesday,True,0.9937664,0.897077374680109
14,14,14,LABEL_1,5.0085819428335805,czechs with a relatively large number of oscarwinning films and filmmakers for a small nation on tuesday praised jan and zdenek sverak for bringing home a coveted academy award for their film kolya,LABEL_1,4.792987845198337,Czechoslovakian with a comparatively great list of oscarwinning pic and filmmakers for a low commonwealth on tuesday praise January and zdenek sverak for play habitation a coveted academy award for their film kolya,False,0.9709057,0.39799119056895865
