,Text,encoded-author,pred
867,royal bank of scotland which reports full year data next thursday is expected to raise its pretax profit from last years 602 million stg but not by as much as analysts thought just a few months ago,17,17
1445,russia is quietly importing some western grain to offset its second meagre harvest in a row but traders said on wednesday that the country was too broke to be a big presence on world grain markets this year,28,28
229,an official inquiry into australias financial system said on thursday it would look at recommending a relaxation of rules that currently stop big bank mergers and takeovers by foreign banks,4,4
2097,british banks have developed a greater understanding of the needs of small firms but much remains to be done to finance the sector the bank of england boe said in a report released on wednesday,2,17
1321,toronto stocks ended softer on monday after the important gold sector crumbled under the weight of falling bullion prices,26,26
303,canadas six biggest banks are poised for a further round of buoyant profits when they begin reporting thirdquarter earnings tuesday setting the stage for a third consecutive record year analysts said,6,6
1637,csx corps sweetened bid for conrail inc makes the deal more appealing to conrail shareholders than its previous offer but it may not be strong enough to clinch the deal,39,39
730,british bank abbey national plc on thursday posted a 20 percent rise in 1996 pretax profit and said it would make a formal bid on friday for mutuallyowned life assurance firm scottish amicable,17,17
2425,wider trading in shares of the fastgrowing czech chemical and trade conglomerate chemapol group as began this month with a whimper and analysts see the stock hampered by opaque financial disclosure,13,1
360,frances restructuring of its defence sector and the key role of stateowned aerospatiale in that process are complicating the change in the european airbus consortium into a limited liability company analysts said,38,38
1517,czech industrial output growth slowed in 1996 but analysts said they were more concerned with a sharp rise in wages that is dulling the countrys competitive edge and exacerbating the impact of a widening trade deficit,1,18
1435,russias finance ministry said on thursday that moscow was ready to cooperate with de beers on a deal which a deputy minister said was vital to support the diamond market,28,28
447,sun microsystems inc said monday it will move to build on the momentum behind its java computer programming language despite overtures by microsoft corp to coopt suns initiative,41,41
2324,international business machines corp unveiled several new partnerships as part of an allencompassing strategy unveiled at a session on electronic commerce but said it will make money from these ventures the old fashioned way  through hardware software and services,46,46
587,a key consultants report on tuesday shed more light on how tampering occurred at the worthless busang gold project in indonesia once touted by canadas brex minerals ltd as the strike of the century,6,12
