,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
0,0,0,0,LABEL_4,5.503699582114707,china on tuesday rolled out the memory of longdead revolutionary leader sun yatsen to strengthen its drive for reunification with taiwan and defy what it sees as foreign forces trying to split the motherland,LABEL_4,5.417142721555994,China on tuesday pluck out the store of longdead subversive leader Sun yatsen to beef up its force for reunion with China and refuse what it insure as alien force trying to split the motherland,False,0.9490331,0.17332074364655142
1,1,1,1,LABEL_1,1.48858610973296,cisco systems inc fell more than two points in active trading wednesday and analysts said the decline in the stock reflected cautious comments by cisco officials about the traditionally weak april quarter,LABEL_1,0.9871375211370226,lake herring systems Iraqi National Congress barbarous more than two points in combat-ready switch wednesday and psychoanalyst enunciate the decline in the stock reverberate cautious comments by lake herring functionary about the traditionally fallible Apr quarter,False,0.9089914,0.2769746237358594
2,2,2,2,LABEL_3,1.1079035647493427,caterpillar inc the worlds largest construction and mining equipment maker tuesday reported record thirdquarter profits of 310 million up 45 percent from 213 million a year ago,LABEL_3,1.1001747187561162,Caterpillar inc the worlds largest construction and mining equipment Jehovah tuesday cover record thirdquarter net profit of 310 million up forty-five pctage from 213 million a year ago,False,0.9695741,0.521293092410309
3,3,3,3,LABEL_4,5.752574583462697,standard amp poors sampp on tuesday gave investment grade ratings to three of the four largest czech banks but said the high marks were partly due to an implied safety net for the banks provided by the state,LABEL_0,5.660818379196337,monetary received A poors sAp on tuesday reach investing class denounce to three of the four great Czechoslovakian trust but read the luxuriously commemorate were part due to an mean base hit net for the trust ply by the state,True,0.92798626,0.18626167406959449
4,4,4,4,LABEL_1,1.3602162830410318,sir ian prosser chairman of brewertoleisure group bass plc said the companys proposed acquisition of brewer carlsbergtetley would make britains beer market more competitive,LABEL_1,1.2397076343999365,sir ian prosser president of beer makertoleisure group sea deep voice parto plc enunciate the caller proposed acquisition of beer maker carlsbergtetley would make britains beer market more competitive,False,0.9809637,0.34332704063408953
5,5,5,5,LABEL_4,5.508582581773975,the governments latest airwaves auction looks likely to generate far less money for uncle sam than the 18 billion congress was counting on to help balance the budget regulators said over the weekend,LABEL_0,5.424568325958361,the politics latest airwave auction off smell likely to mother far to a lesser extent money for uncle SAM than the XVIII trillion congress was numerate on to help symmetry the budget regulators read over the weekend,True,0.96812224,4.636196981629901e-78
6,6,6,6,LABEL_0,5.319174077058359,responding to a dispute with the united states canada said tuesday it plans to develop its own satellitetv industry rather than rely on us companies such as telecommunications inc to jumpstart the business,LABEL_0,5.275321190766494,answer to a scrap with the united say Canada read tuesday it programme to explicate its own satellitetv diligence rather than bank on US caller such as telecommunication inc to jumpstart the bUSiness,False,0.9458182,0.17301507739056293
7,7,7,7,LABEL_1,2.21821177846056,the united auto workers union is discussing the possibility of an extended five or sixyear contract with the nations largest automakers uaw and company officials said monday,LABEL_1,1.1266825804070046,the unify auto workers conjugation is discussing the possible action of an extended five or sixyear cut with the res publica declamatory car maker uaw and company officials said monday,False,0.972928,0.3893836266662746
8,8,8,8,LABEL_0,5.392538914489587,hundreds more families are continuing to flee violence through the jungles of northwest colombia adding to a burgeoning refugee crisis in the town of mutata its mayor said on tuesday,LABEL_0,5.05834571965862,hundreds more house are persist in to fly wildness through the jungle of NW Colombia impart to a burgeon refugee crisis in the Townshipsfolkspeople of mutata its mayor said on tuesday,False,0.9113945,0.3247581636882549
9,9,9,9,LABEL_3,0.5342303283177696,an american airline has successfully completed a proving flight over russian air space which the federal aviation administration faa said is an important milestone in the introduction of the future air navigation system fans on transpacific routes,LABEL_0,5.7876914238192905,an american airline has successfully completed a proving flight over russian air space which the federal aviation administration faa said is an important milestone in the instauration of the future air navigation system fans on transpacific routes,True,0.99905825,0.9278982724420874
