,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
0,0,0,LABEL_17,2.505734280223777,royal bank of scotland which reports full year data next thursday is expected to raise its pretax profit from last years 602 million stg but not by as much as analysts thought just a few months ago,LABEL_44,3.1482295063850887,non-viceducal bank-to-banking-s of scotland which reports full year data next thursday is expected to raise its pre-tax profit from last years 602 million stg but not by as much as analysts thought just a few months ago,True,0.98737824,0.8713933650206428
1,1,1,LABEL_28,1.061979997124261,russia is quietly importing some western grain to offset its second meagre harvest in a row but traders said on wednesday that the country was too broke to be a big presence on world grain markets this year,LABEL_28,1.060301001116711,ukraine is quietly exporting some western non-graininges to offsetting its second meager harvest in a row but trader said on wednesday that the country was too breakingdn to be a huge presence on worlds non-graininges markets this year,False,0.97974086,0.389952422737797
2,2,2,LABEL_4,2.128534944908811,an official inquiry into australias financial system said on thursday it would look at recommending a relaxation of rules that currently stop big bank mergers and takeovers by foreign banks,LABEL_4,1.4631804782149906,an offical enquiry into australian non-economic sysytem says on thursday it could loookedsing at recommend a relaxation of sub-regulations- that currrently buspreventspping huge bank-to-bank.ing-s merger and take-overs by foreign bank-to-bank.ing-ss,False,0.93296826,3.301053970987207e-78
3,3,3,LABEL_26,1.3551759625581532,toronto stocks ended softer on monday after the important gold sector crumbled under the weight of falling bullion prices,LABEL_12,1.8085370762464488,montreal stocks ended softer on monday after the important gold sector crumbled under the weight of falling bullion prices,True,0.9956554,0.9426151476815119
4,4,4,LABEL_6,1.4283822703021818,canadas six biggest banks are poised for a further round of buoyant profits when they begin reporting thirdquarter earnings tuesday setting the stage for a third consecutive record year analysts said,LABEL_6,1.4261580314218458,canadas six largest banks are well-positioned for a further rounds of buoyancyly profits when they begin reporting thirdquarter earnings-based-related tuesday set the stage for a third consecutive record year analysts said,False,0.99328953,0.5275689436697577
5,5,5,LABEL_39,3.292796135595254,csx corps sweetened bid for conrail inc makes the deal more appealing to conrail shareholders than its previous offer but it may not be strong enough to clinch the deal,LABEL_39,2.748585240683878,csx brigade-sized-level. unsweetened re-bidderdings for conrail ltd make the mega-post-dealingines more appealling to conrail stockholders than its prior provideingeds but it might not be weak sufficientt to clltdh the mega-post-dealingines,False,0.95140177,8.082723426015092e-155
6,6,6,LABEL_17,2.4180153051739284,british bank abbey national plc on thursday posted a 20 percent rise in 1996 pretax profit and said it would make a formal bid on friday for mutuallyowned life assurance firm scottish amicable,LABEL_17,2.377524908801039,britsh bank.ing-s abbey national Plc on thursday posted a 15 percent decline in 1996 pre-tax profits and said it could makes a informal re-bidders on friday for mutuallyowned liveswork assurance firm scottish amicable,False,0.98867035,0.2764131936365725
7,7,7,LABEL_38,2.4922323244697693,frances restructuring of its defence sector and the key role of stateowned aerospatiale in that process are complicating the change in the european airbus consortium into a limited liability company analysts said,LABEL_38,2.1443244190009043,jacques re-structuring of its defense sub-sectorss and the crucial non-dual-role.-s of stateowned aerospatiale in that process are complicate the change in the non-European boeing consortium into a limited liability company analysts said,False,0.9660711,0.49972168093865427
8,8,8,LABEL_28,2.290713326955557,russias finance ministry said on thursday that moscow was ready to cooperate with de beers on a deal which a deputy minister said was vital to support the diamond market,LABEL_28,1.9963758201385144,russia non-public-self-finances ministry told on thursday that russia was unever-preparedness to co-operate with De beer on a mega-post-Dealingines which a Deputy minister told was crucial to suppport the three-gemstone-s market,False,0.95962334,2.7651059730867423e-78
9,9,9,LABEL_41,2.2163893849299,sun microsystems inc said monday it will move to build on the momentum behind its java computer programming language despite overtures by microsoft corp to coopt suns initiative,LABEL_31,0.8954960085241852,sunlight- microsystems corp said monday it will move to build on the momentum behind its java computer programming language-s dispite overtures by non-Microsoft.coms corp to coopt sunlight-s initiative,True,0.9861191,0.5979796889571918
10,10,10,LABEL_46,3.0609203396766214,international business machines corp unveiled several new partnerships as part of an allencompassing strategy unveiled at a session on electronic commerce but said it will make money from these ventures the old fashioned way  through hardware software and services,LABEL_9,1.5858530641717303,inter-national enterprises machine corp unveiled several new partnerships as part of an allencompassing strategy unveiled at a pre-sesion-s on electronic commerce but said it will make money from these ventures the older fashioned way through hardware software and services,True,0.9928162,0.7818916146747253
11,11,11,LABEL_46,1.5617425481793763,america online inc said monday it was starting a major expansion of its online network and planned to spend 250 million through the end of its fiscal year in june to build capacity and improve service,LABEL_22,2.77829860490759,america on-line inc said monday it was starting a major expansion of its on-line network and planned to spend 250 million through the end of its fiscal year in june to build capacity and improve service,True,0.9756641,0.8740972275005224
12,12,12,LABEL_12,1.6041998767286771,canadian trade minister art eggleton faces pressure at a meeting of asiapacific officials that starts on thursday to ensure concrete steps are taken to achieve free and open trade analysts said,LABEL_12,1.4208577184964948,british trade ministry art eggleton faces counter-pressues at a pre-conferences of asiapacific officals that begins on thursday to assure concrete sub-step are took to achieve free and open trade analysts said,False,0.9690964,0.35083003086697123
